google.com:443 - open (https)
tryhackme.com:443 - open (https)
[2025-03-24 20:51:37]google.com:443 - open (https)
[2025-03-24 21:01:37]tryhackme.com:443 - open (https)
[2025-03-24 21:31:47]google.com:80 - open (http)
[2025-03-24 21:36:11]tryhackme.com:80 - open (http)
[2025-03-24 21:43:10]google.com:80 - open (http)
[2025-03-25 10:59:22]google.com:8080 - closed (unknown service)
[2025-03-25 11:00:07]google.com:39 - closed (unknown service)
[2025-03-25 11:00:07]google.com:19 - closed (unknown service)
[2025-03-25 11:00:07]google.com:4 - closed (unknown service)
[2025-03-25 11:00:07]google.com:49 - closed (unknown service)
[2025-03-25 11:00:07]google.com:35 - closed (unknown service)
[2025-03-25 11:00:07]google.com:23 - closed (unknown service)
[2025-03-25 11:00:07]google.com:31 - closed (unknown service)
[2025-03-25 11:00:07]google.com:47 - closed (unknown service)
[2025-03-25 11:00:07]google.com:13 - closed (unknown service)
[2025-03-25 11:00:07]google.com:50 - closed (unknown service)
[2025-03-25 11:00:07]google.com:40 - closed (unknown service)
[2025-03-25 11:00:07]google.com:21 - closed (unknown service)
[2025-03-25 11:00:07]google.com:18 - closed (unknown service)
[2025-03-25 11:00:07]google.com:22 - closed (unknown service)
[2025-03-25 11:00:07]google.com:34 - closed (unknown service)
[2025-03-25 11:00:07]google.com:36 - closed (unknown service)
[2025-03-25 11:00:07]google.com:17 - closed (unknown service)
[2025-03-25 11:00:07]google.com:5 - closed (unknown service)
[2025-03-25 11:00:07]google.com:26 - closed (unknown service)
[2025-03-25 11:00:07]google.com:14 - closed (unknown service)
[2025-03-25 11:00:07]google.com:48 - closed (unknown service)
[2025-03-25 11:00:07]google.com:6 - closed (unknown service)
[2025-03-25 11:00:07]google.com:10 - closed (unknown service)
[2025-03-25 11:00:07]google.com:7 - closed (unknown service)
[2025-03-25 11:00:07]google.com:32 - closed (unknown service)
[2025-03-25 11:00:07]google.com:29 - closed (unknown service)
[2025-03-25 11:00:07]google.com:24 - closed (unknown service)
[2025-03-25 11:00:07]google.com:43 - closed (unknown service)
